System,Stock,Age,FC_Year,AvgRankByAge,ModelLabel,PointFC,p10,p25,p50,p75,p90
Columbia River,Bonneville Lock & Dam,Age 3,2021,2.5,Naive8,21529,2165,5318,14883,39077,80812
Columbia River,Bonneville Lock & Dam,Age 3,2022,2,Naive8,22678,2531,6879,17185,50968,94195
Columbia River,Bonneville Lock & Dam,Age 3,2023,2,Naive8,13376,1561,4057,10204,26149,59948
Columbia River,Bonneville Lock & Dam,Age 3,2024,2.3333333333333335,Naive8,17048,1697,4119,12730,32376,64045
Columbia River,Bonneville Lock & Dam,Age 3,2025,2.1666666666666665,Naive8,18200,1799,4716,14421,39988,80629
Columbia River,Bonneville Lock & Dam,Age 3,2026,2.3333333333333335,Naive8,17245,1776,5278,16988,40825,86891
Columbia River,Bonneville Lock & Dam,Age 4,2021,2.3333333333333335,SibRegLogPower,84672,32250,47650,74483,115494,159384
Columbia River,Bonneville Lock & Dam,Age 4,2022,2.3333333333333335,SibRegLogPower,361897,138308,209348,329687,516622,698628
Columbia River,Bonneville Lock & Dam,Age 4,2023,2.1666666666666665,SibRegKalman,217171,60675,105702,190939,335136,524068
Columbia River,Bonneville Lock & Dam,Age 4,2024,2.1666666666666665,SibRegLogPower,330051,134951,193298,299980,454414,559976
Columbia River,Bonneville Lock & Dam,Age 4,2025,2.1666666666666665,SibRegLogPower,203779,90080,125414,184625,271822,361921
Columbia River,Bonneville Lock & Dam,Age 4,2026,2.1666666666666665,SibRegLogPower,103923,40829,60340,90093,137110,182142
Columbia River,Bonneville Lock & Dam,Age 5,2021,2.5,SibRegKalman,26581,8915,14934,25277,38570,53274
Columbia River,Bonneville Lock & Dam,Age 5,2022,2.5,SibRegKalman,11815,4457,7069,11071,16548,23211
Columbia River,Bonneville Lock & Dam,Age 5,2023,2.5,SibRegKalman,43201,14956,24231,38242,58176,86345
Columbia River,Bonneville Lock & Dam,Age 5,2024,2.1666666666666665,SibRegKalman,21592,8524,12777,19951,30618,40146
Columbia River,Bonneville Lock & Dam,Age 5,2025,2,SibRegKalman,49944,18966,31742,48220,74206,103790
Columbia River,Bonneville Lock & Dam,Age 5,2026,2,SibRegKalman,14265,5211,7973,13020,20238,29852
Columbia River,Bonneville Lock & Dam,Total,2021,2.3333333333333335,SibRegLogPower,128779,67659,90172,116755,150299,177842
