System,Stock,Age,ModelLabel,Notes,FC_Year,PointFC,AvgRankByAge,p10,p25,p50,p75,p90
Columbia River,Bonneville Lock & Dam,Age 3,Naive8,Basic,2021,21528.75,2.5,2165,5318,14883,39077,80812.20000000001
Columbia River,Bonneville Lock & Dam,Age 4,SibRegSimple,Based on 2025 experience,2021,24021.187994099288,3.5,6809.400000000002,12324,21379,35530,54722.40000000001
Columbia River,Bonneville Lock & Dam,Age 5,SibRegSimple,Based on 2025 experience,2021,27622.82080497204,2.8333333333333335,9824.2,16131.5,24203,37917.5,53248.8
Columbia River,Wenatchee,Age 3,Naive8,Basic,2021,135.75,7,15,38,115,314.5,622
Columbia River,Wenatchee,Age 4,SibRegLogPower,Based on retrospective plot,2021,37554.55673238129,6.5,6752.6,15046,31539,61479,106967.8
Columbia River,Wenatchee,Age 5,SibRegLogPower,Based on retrospective plot,2021,14385.892362883395,3.1666666666666665,1319.2000000000003,3296.5,11130,29104,68126.20000000003
Columbia River,Okanagan,Age 3,Naive8,Basic,2021,20404.375,7.833333333333333,1567.6,5283,16290,47863,108259.80000000002
Columbia River,Okanagan,Age 4,SibRegSimple,Based on 2025 experience,2021,20538.972689093636,3.8333333333333335,12771,15550,19888,24162,27711.600000000006
Columbia River,Okanagan,Age 5,SibRegSimple,Based on 2025 experience,2021,10769.284539328452,1.3333333333333333,9029.8,9832,10676,11683.5,12465.400000000001
Columbia River,Bonneville Lock & Dam,Age 3,Naive8,Basic,2022,22678.125,2,2530.6000000000004,6879,17185,50967.5,94195.20000000007
Columbia River,Bonneville Lock & Dam,Age 4,SibRegSimple,Based on 2025 experience,2022,338452.67152068653,3.5,83314.6,151515.5,317377,544013,795159.8000000003
Columbia River,Bonneville Lock & Dam,Age 5,SibRegSimple,Based on 2025 experience,2022,7109.425850203472,2.8333333333333335,2645.6000000000004,4368,6715,10174,14775.600000000002
Columbia River,Wenatchee,Age 3,Naive8,Basic,2022,135.75,7.5,16.400000000000006,45,114,277,476.80000000000007
Columbia River,Wenatchee,Age 4,SibRegLogPower,Based on retrospective plot,2022,38304.804144495065,6.666666666666667,6701.8,15027,34690,69525,115296.40000000002
Columbia River,Wenatchee,Age 5,SibRegLogPower,Based on retrospective plot,2022,10574.11792123965,3.5,1399.6000000000001,3202.5,8912,22446,42561.600000000006
Columbia River,Okanagan,Age 3,Naive8,Basic,2022,19860.25,7.583333333333333,1856.4000000000003,4459,15423,52047.5,102392.20000000001
Columbia River,Okanagan,Age 4,SibRegSimple,Based on 2025 experience,2022,182376.20093798664,4.666666666666667,108320.8,134466,173556,211238.5,257935.4
Columbia River,Okanagan,Age 5,SibRegSimple,Based on 2025 experience,2022,2682.5406357923875,1.1666666666666667,1607.8000000000002,2056.5,2572,3244.5,3918.0000000000005
Columbia River,Bonneville Lock & Dam,Age 3,Naive8,Basic,2023,13376.5,2,1561.2,4057,10204,26149,59948.20000000002
Columbia River,Bonneville Lock & Dam,Age 4,SibRegSimple,Based on 2025 experience,2023,117710.49624805881,3.6666666666666665,28928.800000000003,50390.5,101104,177847,260006.40000000002
Columbia River,Bonneville Lock & Dam,Age 5,SibRegSimple,Based on 2025 experience,2023,51275.65634326682,2.8333333333333335,20611.2,32419,51321,80904,110787.80000000002
Columbia River,Wenatchee,Age 3,Naive8,Basic,2023,5.375,7.5,0,1,5,11,20.600000000000023
Columbia River,Wenatchee,Age 4,SibRegLogPower,Based on retrospective plot,2023,47211.414155619554,4.333333333333333,7083.200000000001,15299.5,38465,104309,199697.40000000002
Columbia River,Wenatchee,Age 5,SibRegLogPower,Based on retrospective plot,2023,22817.677176196426,4.166666666666667,3723.2000000000003,8307,18630,39084.5,68377.40000000001
Columbia River,Okanagan,Age 3,Naive8,Basic,2023,10594.5,8.5,1395.8000000000002,3200.5,8209,23964,46352.8
Columbia River,Okanagan,Age 4,SibRegSimple,Based on 2025 experience,2023,92103.37085446021,4.833333333333333,57138.8,69203,86506,103688.5,120508.00000000001
Columbia River,Okanagan,Age 5,SibRegSimple,Based on 2025 experience,2023,20203.60578438807,2.8333333333333335,11875.400000000001,15352,19808,23943,30390.8
Columbia River,Bonneville Lock & Dam,Age 3,Naive8,Basic,2024,17048.25,2.3333333333333335,1697.0000000000007,4119,12730,32375.5,64044.60000000004
Columbia River,Bonneville Lock & Dam,Age 4,SibRegSimple,Based on 2025 experience,2024,273942.70672094286,3.8333333333333335,72329.20000000001,140809.5,242244,399158.5,658136.6000000001
Columbia River,Bonneville Lock & Dam,Age 5,SibRegSimple,Based on 2025 experience,2024,19890.506839852398,2.8333333333333335,7947.6,11657.5,18137,28967,36975
Columbia River,Wenatchee,Age 3,Naive8,Basic,2024,42.75,7,0,3,28,206,1204.400000000001
Columbia River,Wenatchee,Age 4,SibRegLogPower,Based on retrospective plot,2024,202792.5197046431,5.5,25935.200000000004,60720.5,184191,433007.5,760212.6000000001
Columbia River,Wenatchee,Age 5,SibRegLogPower,Based on retrospective plot,2024,21866.347805883695,2.6666666666666665,3515.8,7547.5,17400,41532.5,72126
Columbia River,Okanagan,Age 3,Naive8,Basic,2024,14229.125,7.666666666666667,1721.6000000000001,4618.5,12586,36316,71397.6
Columbia River,Okanagan,Age 4,SibRegSimple,Based on 2025 experience,2024,223217.66204884747,5,139059.2,167277,203885,251952.5,304903.2
Columbia River,Okanagan,Age 5,SibRegSimple,Based on 2025 experience,2024,5238.2344483327915,2.6666666666666665,2649.4000000000005,3635.5,5018,6540.5,8516.2
Columbia River,Bonneville Lock & Dam,Age 3,Naive8,Basic,2025,18200.25,2.1666666666666665,1798.8000000000004,4716.5,14421,39988,80628.60000000003
Columbia River,Bonneville Lock & Dam,Age 4,SibRegSimple,Based on 2025 experience,2025,116217.88317599003,3.8333333333333335,33843.2,60141,107246,182037.5,259047.60000000003
Columbia River,Bonneville Lock & Dam,Age 5,SibRegSimple,Based on 2025 experience,2025,57850.852466417695,2.6666666666666665,22038.2,34428.5,51007,78517.5,105875.00000000003
Columbia River,Wenatchee,Age 3,Naive8,Basic,2025,42.75,6.833333333333333,0,3,30,180.5,611.6000000000001
Columbia River,Wenatchee,Age 4,SibRegLogPower,Based on retrospective plot,2025,51721.09870875779,2.5833333333333335,7578.6,19152.5,46372,99675.5,193641.80000000002
Columbia River,Wenatchee,Age 5,SibRegLogPower,Based on retrospective plot,2025,28498.613686933935,2.6666666666666665,4156.200000000001,10239.5,24387,52914,94827.40000000002
Columbia River,Okanagan,Age 3,Naive8,Basic,2025,15330.875,7.5,1457.8000000000002,4560,13001,33872,59708.20000000001
Columbia River,Okanagan,Age 4,SibRegSimple,Based on 2025 experience,2025,91476.64421581158,5,58650.2,73827.5,88241,105133,121855.4
Columbia River,Okanagan,Age 5,SibRegSimple,Based on 2025 experience,2025,21900.106223116483,2.3333333333333335,10204.6,15276.5,21364,28767,36736.4
Columbia River,Bonneville Lock & Dam,Age 3,Naive8,Basic,2026,17245.375,2.3333333333333335,1775.800000000001,5278.5,16988,40825,86891
Columbia River,Bonneville Lock & Dam,Age 4,SibRegSimple,Based on 2025 experience,2026,37431.934620474014,3.8333333333333335,12074.8,19397.5,33831,57731,82673.2
Columbia River,Bonneville Lock & Dam,Age 5,SibRegSimple,Based on 2025 experience,2026,9392.283291470694,2.8333333333333335,3754.6000000000004,5665.5,8315,12651.5,17341
Columbia River,Wenatchee,Age 3,Naive8,Basic,2026,42.75,7.5,0,4,26,134.5,448.80000000000007
Columbia River,Wenatchee,Age 4,SibRegLogPower,Based on retrospective plot,2026,52619.67436246322,1.4166666666666667,8104.200000000001,18361,42394,102892.5,171435.0000000001
Columbia River,Wenatchee,Age 5,SibRegLogPower,Based on retrospective plot,2026,13036.931634249007,2.3333333333333335,2606.8,5400.5,11237,22782,37309.4
Columbia River,Okanagan,Age 3,Naive8,Basic,2026,14553.5,8.666666666666666,2384.6000000000004,5547,11986,25179.5,48930.4
Columbia River,Okanagan,Age 4,SibRegSimple,Based on 2025 experience,2026,30218.5773935187,4.333333333333333,17861,23009,29475,36465.5,44030.2
Columbia River,Okanagan,Age 5,SibRegSimple,Based on 2025 experience,2026,3051.043294862223,2,1340.2,1941.5,2706,3802,4997.8
