System,River,ReturnYear,Total_Returns,Label,ReturnsByAgeClass,Age,FW_Winters,Mar_Winters,Euro,GR,GRShort,BroodYear,RecruitsByAgeClass,MarineEntryYear,Total_Recruits,PercOfBrdYr,Total_Spawners_BroodYear,TotRecPerTotSpn
Bristol Bay,Alagnak,1963,378138.28,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1955,0,1959,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1956,0,1958,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1956,0,1959,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1956,0,1960,NA,NA,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1957,0,1958,13499.4,0,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1957,0,1959,13499.4,0,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_2.3,13499.4,6,2,3,2.3,6_3,63,1957,13499.4,1960,13499.4,100,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1957,0,1961,13499.4,0,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1958,0,1959,41916.19,0,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_1.3,13119.73,5,1,3,1.3,5_2,52,1958,13119.73,1960,41916.19,31.3,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_2.2,20219.16,5,2,2,2.2,5_3,53,1958,20219.16,1961,41916.19,48.24,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1958,0,1962,41916.19,0,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1959,0,1960,1007787.57,0,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_1.2,331299.99,4,1,2,1.2,4_2,42,1959,331299.99,1961,1007787.57,32.87,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_2.1,0,4,2,1,2.1,4_3,43,1959,0,1962,1007787.57,0,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1960,0,1961,448153.51,0,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_1.1,0,3,1,1,1.1,3_2,32,1960,0,1962,448153.51,0,NA,NA
Bristol Bay,Alagnak,1963,378138.28,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1961,0,1962,294558.54,0,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1956,0,1960,NA,NA,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1957,0,1959,13499.4,0,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1957,0,1960,13499.4,0,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1957,0,1961,13499.4,0,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1958,0,1959,41916.19,0,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1958,0,1960,41916.19,0,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_2.3,8577.3,6,2,3,2.3,6_3,63,1958,8577.3,1961,41916.19,20.46,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1958,0,1962,41916.19,0,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1959,0,1960,1007787.57,0,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_1.3,338122.23,5,1,3,1.3,5_2,52,1959,338122.23,1961,1007787.57,33.55,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_2.2,286853.66,5,2,2,2.2,5_3,53,1959,286853.66,1962,1007787.57,28.46,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1959,0,1963,1007787.57,0,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1960,0,1961,448153.51,0,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_1.2,121361.34,4,1,2,1.2,4_2,42,1960,121361.34,1962,448153.51,27.08,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_2.1,0,4,2,1,2.1,4_3,43,1960,0,1963,448153.51,0,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1961,0,1962,294558.54,0,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_1.1,4468.52,3,1,1,1.1,3_2,32,1961,4468.52,1963,294558.54,1.52,NA,NA
Bristol Bay,Alagnak,1964,759383.05,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1962,0,1963,252128.54,0,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1957,0,1961,13499.4,0,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1958,0,1960,41916.19,0,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1958,0,1961,41916.19,0,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1958,0,1962,41916.19,0,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1959,0,1960,1007787.57,0,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1959,0,1961,1007787.57,0,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_2.3,50738.89,6,2,3,2.3,6_3,63,1959,50738.89,1962,1007787.57,5.03,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_3.2,772.8,6,3,2,3.2,6_4,64,1959,772.8,1963,1007787.57,0.08,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1960,0,1961,448153.51,0,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_1.3,116448.34,5,1,3,1.3,5_2,52,1960,116448.34,1962,448153.51,25.98,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_2.2,166914.94,5,2,2,2.2,5_3,53,1960,166914.94,1963,448153.51,37.25,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1960,0,1964,448153.51,0,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_0.3,727.07,4,0,3,0.3,4_1,41,1961,727.07,1962,294558.54,0.25,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_1.2,50293.25,4,1,2,1.2,4_2,42,1961,50293.25,1963,294558.54,17.07,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_2.1,0,4,2,1,2.1,4_3,43,1961,0,1964,294558.54,0,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1962,0,1963,252128.54,0,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_1.1,11965.31,3,1,1,1.1,3_2,32,1962,11965.31,1964,252128.54,4.75,NA,NA
Bristol Bay,Alagnak,1965,397860.61,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1963,0,1964,414873.32,0,203304,2.041
Bristol Bay,Alagnak,1966,394077.16,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1958,0,1962,41916.19,0,NA,NA
Bristol Bay,Alagnak,1966,394077.16,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1959,0,1961,1007787.57,0,NA,NA
Bristol Bay,Alagnak,1966,394077.16,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1959,0,1962,1007787.57,0,NA,NA
Bristol Bay,Alagnak,1966,394077.16,AgeClass_3.3,1312.32,7,3,3,3.3,7_4,74,1959,1312.32,1963,1007787.57,0.13,NA,NA
Bristol Bay,Alagnak,1966,394077.16,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1960,0,1961,448153.51,0,NA,NA
Bristol Bay,Alagnak,1966,394077.16,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1960,0,1962,448153.51,0,NA,NA
Bristol Bay,Alagnak,1966,394077.16,AgeClass_2.3,43428.89,6,2,3,2.3,6_3,63,1960,43428.89,1963,448153.51,9.69,NA,NA
Bristol Bay,Alagnak,1966,394077.16,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1960,0,1964,448153.51,0,NA,NA
Bristol Bay,Alagnak,1966,394077.16,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1961,0,1962,294558.54,0,NA,NA
Bristol Bay,Alagnak,1966,394077.16,AgeClass_1.3,232930.74,5,1,3,1.3,5_2,52,1961,232930.74,1963,294558.54,79.08,NA,NA
Bristol Bay,Alagnak,1966,394077.16,AgeClass_2.2,6138.96,5,2,2,2.2,5_3,53,1961,6138.96,1964,294558.54,2.08,NA,NA
Bristol Bay,Alagnak,1966,394077.16,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1961,0,1965,294558.54,0,NA,NA
