System,River,ReturnYear,Total_Returns,Label,ReturnsByAgeClass,Age,FW_Winters,Mar_Winters,Euro,GR,GRShort,BroodYear,RecruitsByAgeClass,MarineEntryYear,Total_Recruits,PercOfBrdYr,Total_Spawners_BroodYear,TotRecPerTotSpn
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1977,0,1981,NA,NA,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1978,0,1980,NA,NA,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1978,0,1981,NA,NA,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1978,0,1982,NA,NA,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1979,0,1980,0,NA,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1979,0,1981,0,NA,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_2.3,0,6,2,3,2.3,6_3,63,1979,0,1982,0,NA,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1979,0,1983,0,NA,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1980,0,1981,14033,0,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_1.3,1732,5,1,3,1.3,5_2,52,1980,1732,1982,14033,12.34,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_2.2,12143,5,2,2,2.2,5_3,53,1980,12143,1983,14033,86.53,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1980,0,1984,14033,0,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1981,0,1982,162469,0,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_1.2,150419,4,1,2,1.2,4_2,42,1981,150419,1983,162469,92.58,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_2.1,585,4,2,1,2.1,4_3,43,1981,585,1984,162469,0.36,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1982,0,1983,39315,0,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_1.1,1461,3,1,1,1.1,3_2,32,1982,1461,1984,39315,3.72,NA,NA
Columbia River,Bonneville Lock & Dam,1985,166340,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1983,0,1984,121493,0,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1978,0,1982,NA,NA,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1979,0,1981,0,NA,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1979,0,1982,0,NA,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1979,0,1983,0,NA,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1980,0,1981,14033,0,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1980,0,1982,14033,0,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_2.3,158,6,2,3,2.3,6_3,63,1980,158,1983,14033,1.13,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1980,0,1984,14033,0,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1981,0,1982,162469,0,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_1.3,9094,5,1,3,1.3,5_2,52,1981,9094,1983,162469,5.6,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_2.2,2371,5,2,2,2.2,5_3,53,1981,2371,1984,162469,1.46,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1981,0,1985,162469,0,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1982,0,1983,39315,0,NA,NA
Columbia River,Bonneville Lock & Dam,1986,58123,AgeClass_1.2,21928,4,1,2,1.2,4_2,42,1982,21928,1984,39315,55.78,NA,NA
