Stock,FC_Year,ModelLabel,Age,PointFC,AvgRankByAge,p10,p25,p50,p75,p90,System
Alagnak,2021,Naive4,Age 3,20424,7.333333333333333,14,400,18424,371350,4216786,Bristol Bay
Alagnak,2021,Naive4,Age 4,1837863,2.9166666666666665,9220,128322,1624556,11026678,44545706,Bristol Bay
Alagnak,2021,Naive4,Age 5,1549964,5.166666666666667,472934,792570,1335164,2181207,3171046,Bristol Bay
Alagnak,2021,Naive4,Age 6,21751,3.8333333333333335,206,1780,18436,139546,687332,Bristol Bay
Alagnak,2021,Naive4,Total,3430002,3.1666666666666665,1272147,1881418,3149265,4733570,6125924,Bristol Bay
Alagnak,2021,Naive8,Age 3,15534,4.333333333333333,48,536,7658,151973,1083055,Bristol Bay
Alagnak,2021,Naive8,Age 4,1594948,4.416666666666667,11690,87214,1027889,9562318,33313723,Bristol Bay
Alagnak,2021,Naive8,Age 5,2046120,3.4166666666666665,764311,1218755,1980975,2918822,4012117,Bristol Bay
Alagnak,2021,Naive8,Age 6,150070,5.166666666666667,1178,10728,86622,664722,3571402,Bristol Bay
Alagnak,2021,Naive8,Total,3806672,3.8333333333333335,1293456,2237398,3243442,4749484,6530239,Bristol Bay
Alagnak,2021,SibRegSimple,Age 3,16880,6.666666666666667,15,223,13808,185680,1595602,Bristol Bay
Alagnak,2021,SibRegSimple,Age 4,3882,4.5,2,44,1613,41238,404761,Bristol Bay
Alagnak,2021,SibRegSimple,Age 5,1906161,7.166666666666667,5739,77616,1093735,8497904,56652836,Bristol Bay
Alagnak,2021,SibRegSimple,Age 6,276207,3,2942,21534,206667,1537992,6413186,Bristol Bay
Alagnak,2021,SibRegSimple,Total,2203131,6.5,341587,763648,1616424,3623361,6486541,Bristol Bay
Alagnak,2021,SibRegLogPower,Age 3,16880,6.666666666666667,10,216,5696,113290,1071132,Bristol Bay
Alagnak,2021,SibRegLogPower,Age 4,243344658,9,1621621,10169002,151957329,1319346672,6758035242,Bristol Bay
Alagnak,2021,SibRegLogPower,Age 5,1734576,5.166666666666667,602578,998960,1623822,2575867,3469826,Bristol Bay
Alagnak,2021,SibRegLogPower,Age 6,23686194,9,192304,1386263,10787814,84050336,426671008,Bristol Bay
Alagnak,2021,SibRegLogPower,Total,268782309,9,22032408,65694889,191294351,548591262,1024452040,Bristol Bay
Alagnak,2021,SibRegKalman,Age 3,16880,6.666666666666667,9,282,7138,118799,931102,Bristol Bay
Alagnak,2021,SibRegKalman,Age 4,642383,4.5,4656,36135,272230,3536527,18530679,Bristol Bay
Alagnak,2021,SibRegKalman,Age 5,2193440,1.3333333333333333,851753,1353329,2037233,3010820,4119970,Bristol Bay
Alagnak,2021,SibRegKalman,Age 6,246757,4.416666666666667,2645,22899,203811,1004761,4012331,Bristol Bay
Alagnak,2021,SibRegKalman,Total,3099460,2,1352551,1990326,2895847,3830580,4779609,Bristol Bay
Alagnak,2021,TimeSeriesArimaBC,Age 3,1447,3.25,2,59,595,10964,85376,Bristol Bay
Alagnak,2021,TimeSeriesArimaBC,Age 4,6994377,6.333333333333333,29587,390158,6258846,81472872,359161930,Bristol Bay
Alagnak,2021,TimeSeriesArimaBC,Age 5,1978437,6.5,684777,988613,1753300,3019710,4562238,Bristol Bay
Alagnak,2021,TimeSeriesArimaBC,Age 6,42575,3.6666666666666665,420,4086,38490,363520,1717756,Bristol Bay
Alagnak,2021,TimeSeriesArimaBC,Total,9016836,5.833333333333333,2364128,4445660,8003806,12613112,17581541,Bristol Bay
Alagnak,2021,TimeSeriesArimaNoBC,Age 3,19698,3.6666666666666665,8,359,12932,272808,2453007,Bristol Bay
Alagnak,2021,TimeSeriesArimaNoBC,Age 4,1481059,2.6666666666666665,11110,105474,1279303,12012502,38638485,Bristol Bay
Alagnak,2021,TimeSeriesArimaNoBC,Age 5,1964464,4.333333333333333,655123,1056246,1706083,2768360,3901138,Bristol Bay
