System,Stock,Age,FC_Year,AvgRankByAge,ModelLabel,PointFC,p10,p25,p50,p75,p90
Bristol Bay,Alagnak,Age 3,2021,2.75,TimeSeriesExpSmoothBC,1468,4,66,928,11197,69388
Bristol Bay,Alagnak,Age 3,2022,2.75,TimeSeriesExpSmoothBC,1078,4,36,457,7834,49897
Bristol Bay,Alagnak,Age 3,2023,2.75,TimeSeriesExpSmoothBC,1456,2,52,829,14370,74790
Bristol Bay,Alagnak,Age 3,2024,2.5833333333333335,TimeSeriesExpSmoothBC,1179,3,66,699,8111,46344
Bristol Bay,Alagnak,Age 3,2025,2.5833333333333335,TimeSeriesExpSmoothBC,1397,3,56,672,8994,58114
Bristol Bay,Alagnak,Age 3,2026,2.5833333333333335,TimeSeriesExpSmoothBC,1188,2,40,547,11166,81935
Bristol Bay,Alagnak,Age 4,2021,2.6666666666666665,TimeSeriesArimaNoBC,1481059,11110,105474,1279303,12012502,38638485
Bristol Bay,Alagnak,Age 4,2021,2.6666666666666665,TimeSeriesExpSmoothNoBC,666399,2932,27614,534816,4597566,21949594
Bristol Bay,Alagnak,Age 4,2022,2.5,Naive4,1749977,10735,97717,1054780,11323588,48517130
Bristol Bay,Alagnak,Age 4,2022,2.5,TimeSeriesArimaNoBC,1633393,8258,67334,774441,7679082,36347208
Bristol Bay,Alagnak,Age 4,2023,2.5,Naive4,1625634,9852,79033,921433,6403388,33885162
Bristol Bay,Alagnak,Age 4,2023,2.5,TimeSeriesArimaNoBC,1536749,10885,120196,962197,9590198,48989465
Bristol Bay,Alagnak,Age 4,2023,2.5,TimeSeriesExpSmoothNoBC,727686,3209,44082,336746,3698584,18235481
Bristol Bay,Alagnak,Age 4,2024,2.5,TimeSeriesArimaNoBC,1366383,11116,118098,866089,7839426,25039555
Bristol Bay,Alagnak,Age 4,2024,2.5,TimeSeriesExpSmoothNoBC,717814,2917,27934,408741,4011082,23245207
Bristol Bay,Alagnak,Age 4,2025,2.5,Naive4,1843716,12017,94176,1148567,10369026,57630101
Bristol Bay,Alagnak,Age 4,2025,2.5,TimeSeriesArimaNoBC,1690313,14441,159894,1438369,10144484,37768317
Bristol Bay,Alagnak,Age 4,2025,2.5,TimeSeriesExpSmoothNoBC,808670,6489,48917,512610,4672800,19886898
Bristol Bay,Alagnak,Age 4,2026,2.5,TimeSeriesArimaNoBC,1500930,9657,90164,942733,9087164,37659559
Bristol Bay,Alagnak,Age 4,2026,2.5,TimeSeriesExpSmoothNoBC,799031,7079,47490,427657,4309018,19730434
Bristol Bay,Alagnak,Age 5,2021,1.3333333333333333,SibRegKalman,2193440,851753,1353329,2037233,3010820,4119970
Bristol Bay,Alagnak,Age 5,2022,1.3333333333333333,SibRegKalman,2523565,1058847,1614894,2430678,3534209,4624651
Bristol Bay,Alagnak,Age 5,2023,1.3333333333333333,SibRegKalman,2001440,749361,1171522,1719439,2562418,3412444
Bristol Bay,Alagnak,Age 5,2024,1.3333333333333333,SibRegKalman,1590145,639385,945401,1429581,2196617,2852938
Bristol Bay,Alagnak,Age 5,2025,1.3333333333333333,SibRegKalman,3127534,1246655,1973325,2934608,4017130,5298606
Bristol Bay,Alagnak,Age 5,2026,1.5,SibRegKalman,1628070,615452,972077,1507890,2252022,2802694
Bristol Bay,Alagnak,Age 6,2021,3,SibRegSimple,276207,2942,21534,206667,1537992,6413186
Bristol Bay,Alagnak,Age 6,2022,2.8333333333333335,SibRegSimple,339026,3063,19392,195951,1531905,7296588
Bristol Bay,Alagnak,Age 6,2023,2.8333333333333335,SibRegSimple,359823,2912,22876,167467,1749698,7224574
Bristol Bay,Alagnak,Age 6,2024,2.6666666666666665,SibRegSimple,142827,1612,9503,84871,538562,1978909
Bristol Bay,Alagnak,Age 6,2025,2.6666666666666665,SibRegSimple,98083,1075,8971,75877,551333,2179786
Bristol Bay,Alagnak,Age 6,2026,2.6666666666666665,SibRegSimple,600933,4593,40366,379493,2576232,8842856
Bristol Bay,Alagnak,Total,2021,2,SibRegKalman,3099460,1352551,1990326,2895847,3830580,4779609
Bristol Bay,Alagnak,Total,2022,2,SibRegKalman,3517729,1331735,2151276,3168579,4662863,5983447
Bristol Bay,Alagnak,Total,2023,2,SibRegKalman,2989604,1293064,1853479,2634127,3608147,4556340
Bristol Bay,Alagnak,Total,2024,1.8333333333333333,SibRegKalman,2461355,990270,1523541,2261993,3166209,3858530
Bristol Bay,Alagnak,Total,2025,1.8333333333333333,SibRegKalman,4016249,1718714,2677057,3699056,4912501,6219424
Bristol Bay,Alagnak,Total,2026,1.8333333333333333,SibRegKalman,2832475,1180601,1758316,2510624,3422317,4398268
Bristol Bay,Egegik,Age 3,2021,2.8333333333333335,Naive4,152167,1745,10857,82818,502086,1578954
Bristol Bay,Egegik,Age 3,2022,3.25,TimeSeriesExpSmoothBC,457443,4270,29891,237133,1955006,7342625
Bristol Bay,Egegik,Age 3,2023,3,Naive4,135479,1972,18938,117987,563650,2172261
Bristol Bay,Egegik,Age 3,2024,2.5,Naive4,150953,3483,20520,119674,551163,1745854
Bristol Bay,Egegik,Age 3,2025,3,Naive4,110708,1904,10563,66017,389520,1095543
Bristol Bay,Egegik,Age 3,2025,3,SibRegSimple,124910,1517,13552,85560,614858,1808066
Bristol Bay,Egegik,Age 3,2025,3,SibRegLogPower,124910,1495,9935,73329,555326,1812260
Bristol Bay,Egegik,Age 3,2025,3,SibRegKalman,124910,1570,12348,79850,528868,2157615
Bristol Bay,Egegik,Age 3,2026,3,Naive4,59494,829,4334,31403,166292,645354
Bristol Bay,Egegik,Age 3,2026,3,SibRegSimple,106423,1808,9078,64048,338635,1049024
Bristol Bay,Egegik,Age 3,2026,3,SibRegLogPower,106423,2230,11820,72322,430826,1447258
Bristol Bay,Egegik,Age 3,2026,3,SibRegKalman,106423,2325,10470,77994,450112,1496228
Bristol Bay,Egegik,Age 4,2021,2.3333333333333335,SibRegKalman,6249958,1277947,2779707,5556060,10043694,16015362
Bristol Bay,Egegik,Age 4,2022,2.1666666666666665,SibRegKalman,9221096,2015341,3525914,7683749,16283962,25592843
Bristol Bay,Egegik,Age 4,2023,2.6666666666666665,SibRegKalman,1396694,269735,517403,1098175,1995002,3097512
Bristol Bay,Egegik,Age 4,2024,2.3333333333333335,SibRegKalman,2793053,660670,1251826,2517215,4708934,6920595
Bristol Bay,Egegik,Age 4,2025,2.3333333333333335,SibRegKalman,965898,225454,414228,840341,1560398,2414597
Bristol Bay,Egegik,Age 4,2026,2.3333333333333335,SibRegKalman,2737090,634527,1208726,2618094,4824138,7165663
Bristol Bay,Egegik,Age 5,2021,2.6666666666666665,TimeSeriesExpSmoothNoBC,6342883,2319364,3917541,6104180,8655400,11495198
Bristol Bay,Egegik,Age 5,2022,2.6666666666666665,TimeSeriesExpSmoothNoBC,5364550,2024312,3119581,4736970,7218897,9446424
Bristol Bay,Egegik,Age 5,2023,2.6666666666666665,SibRegLogPower,8065488,2972587,4437141,7143991,11186008,14937724
