System,River,BroodYear,Age,MarineEntryYear,ReturnYear,ReturnsByAge,Label,Euro,GR,Perc_Med,FW_Winters,Mar_Winters,MarineEntryOffset_BrYr,MarineEntryOffset_RetYr,Total_Spawners_BroodYear
Bristol Bay,Alagnak,1960,3,1962,1963,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,NA
Bristol Bay,Alagnak,1959,4,1961,1963,331299.99,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,NA
Bristol Bay,Alagnak,1958,5,1960,1963,33338.89,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,NA
Bristol Bay,Alagnak,1957,6,1960,1963,13499.4,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,NA
Bristol Bay,Alagnak,1961,3,1963,1964,4468.52,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,NA
Bristol Bay,Alagnak,1960,4,1962,1964,121361.34,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,NA
Bristol Bay,Alagnak,1959,5,1961,1964,624975.8899999999,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,NA
Bristol Bay,Alagnak,1958,6,1961,1964,8577.3,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,NA
Bristol Bay,Alagnak,1962,3,1964,1965,11965.31,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,NA
Bristol Bay,Alagnak,1961,4,1963,1965,51020.32,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,NA
Bristol Bay,Alagnak,1960,5,1962,1965,283363.28,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,NA
Bristol Bay,Alagnak,1959,6,1962,1965,51511.69,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,NA
Bristol Bay,Alagnak,1963,3,1965,1966,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,203304
Bristol Bay,Alagnak,1962,4,1964,1966,110266.24,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,NA
Bristol Bay,Alagnak,1961,5,1963,1966,239069.69999999998,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,NA
Bristol Bay,Alagnak,1960,6,1963,1966,43428.89,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,NA
Bristol Bay,Alagnak,1964,3,1966,1967,6377.3,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,248700
Bristol Bay,Alagnak,1963,4,1965,1967,231416.93,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,203304
Bristol Bay,Alagnak,1962,5,1964,1967,106511.36,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,NA
Bristol Bay,Alagnak,1961,6,1964,1967,0,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,NA
Bristol Bay,Alagnak,1965,3,1967,1968,8480.04,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,175020
Bristol Bay,Alagnak,1964,4,1966,1968,99530.7,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,248700
Bristol Bay,Alagnak,1963,5,1965,1968,182637.18,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,203304
Bristol Bay,Alagnak,1962,6,1965,1968,23385.63,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,NA
Bristol Bay,Alagnak,1966,3,1968,1969,9662.47,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,174336
Bristol Bay,Alagnak,1965,4,1967,1969,110832.89,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,175020
Bristol Bay,Alagnak,1964,5,1966,1969,202974.39,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,248700
Bristol Bay,Alagnak,1963,6,1966,1969,819.21,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,203304
Bristol Bay,Alagnak,1967,3,1969,1970,5829.78,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,202626
Bristol Bay,Alagnak,1966,4,1968,1970,304544.09,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,174336
Bristol Bay,Alagnak,1965,5,1967,1970,117388.12000000001,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,175020
Bristol Bay,Alagnak,1964,6,1967,1970,73017.51,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,248700
Bristol Bay,Alagnak,1968,3,1970,1971,8554.1,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,193872
Bristol Bay,Alagnak,1967,4,1969,1971,263146.49,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,202626
Bristol Bay,Alagnak,1966,5,1968,1971,242565.08,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,174336
Bristol Bay,Alagnak,1965,6,1968,1971,23027.86,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,175020
Bristol Bay,Alagnak,1969,3,1971,1972,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,182490
Bristol Bay,Alagnak,1968,4,1970,1972,182414.45,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,193872
Bristol Bay,Alagnak,1967,5,1969,1972,111362.64,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,202626
Bristol Bay,Alagnak,1966,6,1969,1972,8812.23,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,174336
Bristol Bay,Alagnak,1970,3,1972,1973,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,177060
Bristol Bay,Alagnak,1969,4,1971,1973,1353.56,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,182490
Bristol Bay,Alagnak,1968,5,1970,1973,53189.54,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,193872
Bristol Bay,Alagnak,1967,6,1970,1973,9009.87,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,202626
Bristol Bay,Alagnak,1971,3,1973,1974,1232.55,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,187302
Bristol Bay,Alagnak,1970,4,1972,1974,78027.48,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,177060
Bristol Bay,Alagnak,1969,5,1971,1974,163285.7,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,182490
Bristol Bay,Alagnak,1968,6,1971,1974,5034,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,193872
Bristol Bay,Alagnak,1972,3,1974,1975,1462.13,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,151188
Bristol Bay,Alagnak,1971,4,1973,1975,28837.92,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,187302
Bristol Bay,Alagnak,1970,5,1972,1975,66811.29,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,177060
Bristol Bay,Alagnak,1969,6,1972,1975,15545.36,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,182490
Bristol Bay,Alagnak,1973,3,1975,1976,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,35280
Bristol Bay,Alagnak,1972,4,1974,1976,70319.72,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,151188
Bristol Bay,Alagnak,1971,5,1973,1976,86326.97,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,187302
Bristol Bay,Alagnak,1970,6,1973,1976,802.98,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,177060
Bristol Bay,Alagnak,1974,3,1976,1977,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,214848
Bristol Bay,Alagnak,1973,4,1975,1977,0,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,35280
Bristol Bay,Alagnak,1972,5,1974,1977,27572.16,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,151188
Bristol Bay,Alagnak,1971,6,1974,1977,207343.17,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,187302
Bristol Bay,Alagnak,1975,3,1977,1978,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,100480
Bristol Bay,Alagnak,1974,4,1976,1978,724492.03,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,214848
Bristol Bay,Alagnak,1973,5,1975,1978,360384.71,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,35280
Bristol Bay,Alagnak,1972,6,1975,1978,24813.55,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,151188
Bristol Bay,Alagnak,1976,3,1978,1979,0,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,81822
Bristol Bay,Alagnak,1975,4,1977,1979,0,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,100480
Bristol Bay,Alagnak,1974,5,1976,1979,1551297.18,AgeClass_1.3,1.3,5_2,48.16,1,3,2,-3,214848
Bristol Bay,Alagnak,1973,6,1976,1979,68889.75,AgeClass_2.3,2.3,6_3,3.26,2,3,3,-3,35280
Bristol Bay,Alagnak,1977,3,1979,1980,163393.69,AgeClass_1.1,1.1,3_2,0.02,1,1,2,-1,108910.5
Bristol Bay,Alagnak,1976,4,1978,1980,77258.94,AgeClass_1.2,1.2,4_2,26.26,1,2,2,-2,81822
