,System,River,MarineEntryYear,AgeClass_0.1,AgeClass_0.2,AgeClass_0.3,AgeClass_0.4,AgeClass_0.5,AgeClass_1.1,AgeClass_1.2,AgeClass_1.3,AgeClass_1.4,AgeClass_1.5,AgeClass_2.1,AgeClass_2.2,AgeClass_2.3,AgeClass_2.4,AgeClass_3.1,AgeClass_3.2,AgeClass_3.3,AgeClass_3.4,Juveniles_Marine_Entry
1,Bristol Bay,Alagnak,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,Bristol Bay,Alagnak,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,Bristol Bay,Alagnak,1958,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0
4,Bristol Bay,Alagnak,1959,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0
5,Bristol Bay,Alagnak,1960,NA,NA,0,0,0,NA,NA,13119.73011,0,0,NA,NA,13499.39879,0,NA,NA,8.97E-10,0,26619.1289
6,Bristol Bay,Alagnak,1961,NA,0,0,0,0,NA,331299.9901,338122.2324,6.47E-09,0,NA,20219.16203,8577.297063,0,NA,8.98E-10,1.56E-06,0,698218.6816
7,Bristol Bay,Alagnak,1962,0,0.000139744,727.0738165,0,0,0,121361.3428,116448.3441,1.83E-09,0,5.95E-10,286853.6594,50738.89377,1.83E-09,0,2.32E-07,6.47E-09,0,576129.314
8,Bristol Bay,Alagnak,1963,0,0,1.83E-09,0,0,4468.518531,50293.24503,232930.7438,1.07E-09,0,8.07E-06,166914.9386,43428.89416,0,0,772.7989217,1312.321188,0,500121.4603
9,Bristol Bay,Alagnak,1964,0,0,1.07E-09,0,0,11965.31397,110266.2436,104885.0295,8.09E-10,0,6.47E-09,6138.956317,1.07E-09,8.09E-10,0,1.83E-09,1.07E-09,0,233255.5434
10,Bristol Bay,Alagnak,1965,0,0,8.09E-10,0,0,0,231001.9094,151684.1612,2.16E-09,0,0,1626.325711,22573.01663,0,0,1.08E-09,8.09E-10,0,406885.4129
11,Bristol Bay,Alagnak,1966,0,0,0,0,0,6377.297622,97650.42155,90731.09184,0,0,415.0233822,30953.02333,819.2109868,0,0,812.6112988,2.16E-09,0,227758.68
12,Bristol Bay,Alagnak,1967,0,2.16E-09,4.55E-09,1.66E-09,0,8480.041847,110322.9586,88347.84888,5497.060303,0,1880.281525,112243.2976,73017.51291,0,0,2.16E-09,4.55E-09,0,399789.0016
13,Bristol Bay,Alagnak,1968,0,0,461.1695004,1.30E-09,0,9662.46649,304544.0937,229247.617,9.72E-10,0,509.9296836,29040.27188,17530.79694,9.72E-10,0,4.55E-09,1.66E-09,0,590996.3452
14,Bristol Bay,Alagnak,1969,0,410.6394392,6.49E-10,0,0,5829.784087,260360.1267,52163.06605,3.35E-10,0,0,13317.46263,8812.22642,0,0,1.66E-09,6.49E-10,0,340893.3054
15,Bristol Bay,Alagnak,1970,0,0,5.58E-10,0,0,8143.462512,182414.4477,52504.16838,2129.569334,0,2325.189365,59199.56702,9009.86507,0,0,6.50E-10,4.46E-10,0,315726.2694
16,Bristol Bay,Alagnak,1971,0,0,0,0,0,7.09E-09,1353.562585,54756.5338,0,0,0,685.3733358,2904.425243,2.48E-09,0,4.46E-10,0,0,59699.89496
